Price,Bedrooms,Bathrooms,Floor Area,Land Area,Region
10050000.0,5.0,3.0,100.0,246.0,Region I
7617000.0,3.0,2.0,66.0,110.0,Region I
5896000.0,3.0,2.0,66.0,96.0,Region I
8788000.0,3.0,2.0,66.0,157.0,Region I
9306000.0,3.0,2.0,66.0,172.0,Region I
8558000.0,3.0,2.0,66.0,153.0,Region I
9029000.0,3.0,2.0,66.0,246.0,Region I
4219000.0,2.0,1.0,46.0,56.0,Region I
8879000.0,4.0,3.0,83.0,141.0,Region I
4948000.0,2.0,1.0,46.0,63.0,Region I
13459000.0,5.0,3.0,166.0,174.0,Region I
10367000.0,5.0,3.0,142.0,143.0,Region I
11940000.0,5.0,3.0,142.0,157.0,Region I
9370000.0,4.0,3.0,83.0,158.0,Region I
8116000.0,4.0,3.0,83.0,121.0,Region I
7857000.0,3.0,2.0,66.0,130.0,Region I
6728000.0,3.0,2.0,66.0,99.0,Region I
8202000.0,3.0,2.0,66.0,140.0,Region I
11286000.0,5.0,3.0,142.0,143.0,Region I
11483000.0,5.0,3.0,166.0,174.0,Region I
10987000.0,5.0,3.0,142.0,161.0,Region I
8845000.0,4.0,3.0,83.0,140.0,Region I
8328000.0,4.0,3.0,83.0,125.0,Region I
4998000.0,2.0,1.0,46.0,63.0,Region I
24300000.0,4.0,5.0,338.0,196.0,NCR
10840000.0,3.0,3.0,140.0,240.0,NCR
6800000.0,2.0,1.0,52.0,130.0,Region IV-A
19500000.0,4.0,4.0,250.0,430.0,NCR
78000000.0,4.0,2.0,300.0,325.0,NCR
6503750.0,3.0,3.0,103.0,60.0,Region IV-A
45000000.0,6.0,6.0,600.0,600.0,NCR
6500000.0,3.0,2.0,194.0,746.0,Region I
